org,classification,source,Dataset_ids,Occurrences,WeightedOccurrences
Marine Biological Station (Universitetets Marinbiologiske stasjon i Drøbak); University of Oslo Natural History Museum,public,baseline,['b5ee4e05-0680-487a-a4ac-06006359cd50'],16390,0.0
Oregon State University,public,oceanexpert_id,[],0,0.0
"U.S. Geological Survey,  Southeast Ecological Science Center",public,oceanexpert_id,['63108715-3d0c-4a26-847f-16ca305c9cb1'],908,0.0
Université de Tunis El Manar,public,oceanexpert_id,"['bef38a3a-fc41-4be1-82fa-9aa75ad08b81', 'baa2fd15-8103-4153-acaa-268bd41e5462']",11659,456.20833333333326
CEBIMar/USP,public,rag,['21c4fa9f-5e99-4532-bfd0-4c7271048154'],487,0.0
"US Natural History Museum, Smithsonian Institution",public,baseline,['a8670051-b02c-4f6f-974d-caddc73b95ab'],415,0.0
"Department of Microbiology and Parasitology, School of Molecular and Microbial Sciences, University of Queensland",public,baseline,['f3a98533-58fb-4abb-aa1a-205cdeb00554'],7,0.0
Impact Mer,private,manual,['3aa23743-5491-481b-9a70-42a537b61ed2'],18738,986.2105263157894
Azores Experiences,private,manual,['6808176f-ffe5-4f24-a7ec-b3fb4b630a28'],77572,41371.73333333333
Hatfield Marine Science Center,public,oceanexpert_id,[],0,0.0
Regional Program for Sea Turtle Research and Conservation of Argentina (PRICTMA),public,baseline,"['babe9ac5-4043-4e81-afe4-1897f3daabba', '8f75db5c-a8a7-4c83-8512-38c27ef8838f']",95,0.0
Universidade Federal Rural de Pernambuco (UFRPE),public,baseline,"['f5cf3e40-6586-427e-b335-36690170c698', 'f065a5ee-545d-47e0-9a24-c49518c333f9']",342,0.0
Berkeley Natural History Museums,public,oceanexpert_id,"['4a606f86-2e7b-44a3-b50d-3d55a887a11f', '10b213e6-a9c4-459e-a40c-ef9edc461b97', '4e88f9c8-868e-4b0a-bc48-3d409a5448fe']",211642,10122.25
Brijuni National Park,public,oceanexpert_id,['bef38a3a-fc41-4be1-82fa-9aa75ad08b81'],10949,456.20833333333326
Florida Fish and Wildlife Research Institute,public,baseline,"['0e7e6508-9ea6-4ac1-867b-ad6f89b44888', 'a9dacd9b-ae5e-4006-bfe7-b83f918bc67e', 'eb3974a6-8be3-43f5-bb04-1fc6b637d48a']",3943,0.0
PELD HCES,public,rag,['da5c1e1c-d36c-4f19-a446-ebede37828a4'],1859,0.0
Instituto de Investigaciones Marinas y Costeras José Benito Vives de AndréisEMAR,public,baseline,"['22f3a057-258d-49b7-8ecf-e5233d53d72d', 'f9672738-4480-4987-96d6-9e9262ff04f9', '5bac0fd0-82cd-47df-bb58-a7fe226194ac']",1840461,0.0
Spanish Ministry of Economy and Competiveness; Instituto Español de Oceanografía,public,oceanexpert_id,[],0,0.0
"Center for Environment, Fisheries and Aquaculture Science, Lowestoft Laboratory",private,manual,['99cb5f25-9aaa-4c8c-a0f3-43375f183ca2'],13818,1974.0
Multi-Agency Rocky Intertidal Network (MARINe),public,rag,"['fbf4cb59-cef3-43be-b0ab-0dbab5f51740', '438b8f02-3421-4b2c-a5b2-5934ab76f47b', '30884b6c-e8e1-453c-af20-7ed8318489c6', 'bb638343-bbc9-464d-88d8-18d9ba29ecdd']",96783,0.0
 Consejo Comunitario de la Comunidad Negra de Juanchaco,public,rag,['4c4d6b47-5fc1-4a92-9da4-73395b6fe23f'],130,0.0
BIOMAC-Universidad de Caraobo,public,baseline,['ae5e77ae-4df2-4559-9493-43be535d250d'],117,0.0
Universidade Federal do Paraná Centro de Estudos do Mar (UFPR),public,baseline,['c8eecb00-b65f-45c5-b04e-da9bd5dc18e0'],5507,0.0
Columbia University,public,oceanexpert_id,['ce215584-9139-42d4-8d6c-f68e8d7ce47c'],5589,0.0
Instituto de la Grasa (IG-CSIC),public,baseline,['e89f1a10-f157-4868-a958-6b9c5a6c8e2d'],29,0.0
 The Marine Environment Monitoring and Assessment National database,public,oceanexpert_id,['1cfc4d23-9fcd-42b2-95bf-9c4ee9bc50f6'],2494,0.0
Istituto Di Biologia Marina Per L’Adriatico,public,rag,['7a571da5-07d4-493f-a695-b9d0291dba1a'],2418,0.0
"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)- Instituto de Diversidad y Ecología Animal (IDEA)- Universidad Nacional de Córdoba, Facultad de Ciencias Exactas, Físicas y Naturales. Laboratorio de Ecología Marina",public,baseline,['2a851007-1cd8-4f08-9848-d924edbe6986'],4490,0.0
"Dipartimento di Scienze della Terra dell’Ambiente e della Vita (DISTAV), Università di Genova",public,baseline,['4140aa4d-3217-4693-87eb-e3d344835725'],7,0.0
Ministry of the Environment of the Estonian Republic,public,baseline,"['d19d6c41-ab39-467e-871c-472ae67bbd57', 'c28a98ea-84bc-4930-8d82-778ed7402269']",122482,0.0
"University of California, San Diego; Scripps Institute of Oceanography",public,oceanexpert_id,[],0,0.0
University of North Carolina Wilmington,public,oceanexpert_id,"['84bc59cf-a15e-4708-81b8-2b25931fb22c', '1d81a51c-66fc-46bf-a7c3-311d655763d6', '7a101b4e-411f-414f-abb6-39d5abd8975a', 'a9c95d9b-4d30-4be9-a6ad-e28932f5b327', '2b8436b3-ad92-4810-a860-904b132ae55b', '644112a8-149f-40a9-a7bb-9a86263850d9', '90337abd-9194-4e44-ab99-7b69c0415e03', '2ad4b01d-26e0-4387-b9e4-f519d4cf41c4', '9965767e-c758-4a65-bd9c-126a86672970', '8207b7d1-19b3-4592-be18-52a08e9e0687', '9516fa6b-baa9-4678-89a1-98bbad1f6573', '4a384e25-d0d8-4d9b-b4b5-b5a5576f4d2d', 'd6d50ee3-095d-4a8c-ba6b-7a83bdd4f28c', '022709a2-922a-4295-ae54-0538d6a04e10', '718741d6-1e32-4820-aaac-539f321034e1', '0fd4759b-edc9-4a49-b65a-08b4509c9b90', '0eb73d2d-262f-4c3b-a30f-8f8f1a476e8c', 'c75e8721-083c-47cf-8d85-66a171f91cb5', '5e6b1ba2-45e0-438a-a3b0-30ce20283679', '423b9149-9734-48a2-991f-ac0516f61e56', '228907b6-5fd9-40ac-95ab-13f6730db8ac', '9a764a05-2258-4a7b-8bc9-c8ba04cccee6', 'c0f04afe-e21b-4e1f-8237-fe566ad4b17c', 'ffa68723-b596-41d9-a2c8-59f71063a4a5', '5b2bbf34-6d39-4ee3-8513-5d054f681613', '5175c8ce-828a-4b19-95dd-dbeee6d1adc1', '89d29a41-a020-49ee-ba2a-f7505f34d563', 'e49ef4e6-cf35-4949-932e-c18c20bc5454', '00e92406-7ace-4fae-aae1-a294c7dec151', 'ea7aa724-8b61-46be-a1c3-bd3387d15907', 'c85bb3e7-7d29-4b10-ba49-1fd452bdc8a1', '7676ac5e-03cc-4ab8-9d75-c75cedd04da9', '7bb29932-5b63-4aba-8b07-591cf50cecc8', '6ab6d1de-a80e-4677-9d6b-79256800a0e3', 'fd293613-5b4c-45bb-991f-f01aae6228e4', '3797cbb4-083a-4cb4-a265-ba5d4181e578', 'd7983b93-795f-4dab-ad1c-3cfc04aeb9bf', 'fbea11b1-c8f7-4c87-bd35-1a6bcd2ffaff', '41aea963-7bac-4191-baf8-ef068ac9e13a', 'fbd419a6-2760-43cf-a946-737edaf137d9', '4b36323a-4e0a-4e0e-a7e4-ad63a7c7c558', '0b126e52-8894-4c0c-bda2-bfb32a90ee9a', '414d4d63-3c78-46ab-912c-281c213ee9b9', '9f0c12a3-3e31-4ee0-ba8c-478f77386e44', '78c1d918-0396-44da-be43-54e5f5642d6a', '71536664-8493-415c-930f-f498bc90cd48', '7c25ee75-bead-4da6-9957-7a225fc62317', '4d406304-70b1-4c6f-b6eb-871d5b757a4f', 'f322c34d-616f-4239-985b-35e17708731a', '72af5ac0-d56c-472c-91ec-3391fd0ca50c', '99d0916a-88c6-4d36-8b00-4014e6486fe1', 'cbf6cf0e-b78c-4257-8c46-436ff991b6e6', '3c8f9b5f-8d5f-4978-8848-199768739f69', '088e9046-5d47-4b5b-9a45-49d6c3758b24', '2fb3a045-f8f7-4dc1-93c2-7ce9ec98abe7', '6ddfa8ec-14d4-43b2-85f0-e813341cfd5e']",18845,0.0
Roskilde University,public,oceanexpert_id,"['dccfa92a-2191-4c17-90e5-614358499adf', '0d75d6e6-d632-4991-8412-c6dc70461ed5', '6b45e770-4625-43dd-abc6-c4844a417b55', '60fa0b32-b088-42db-835c-b9c797a60945', 'd19d91f3-1211-4b95-b276-9cae1fc18212', 'e1d5b8e8-4cff-483a-838e-eb4b5eaffd61', '228efb20-05c6-41ac-be17-7731bce2204a', 'b6386b0c-351d-4d9e-9cc0-b563816bd896', '430e02f9-8843-4b44-8d24-9ea35be1940c', '12abc001-a379-497f-9c5c-4548337a564e', '830af6be-fabc-4ecd-b95c-eb2a20c7f081', '8237effd-7f49-4279-af02-e2b7c1f9c126', '60118ee5-87f4-4272-bb7c-53165b2d7b88', '27634725-9cfd-433b-8f14-6672844e69bf', 'ed8342e1-2f06-4532-a0bf-69fe05aeff1a', '6b152cd2-1a16-4706-9a95-34c992330ee6', '98a42fe7-b1a2-4e1c-9ebd-782bbcb4f739', '0ad46fa2-466c-4dd6-87d6-7261ea1909ce', '41e913d3-bde0-4986-b672-0a6ee02de2fc']",24674,0.0
Russian Academy of Sciences - Zoological Institute - Laboratory of Marine Research,public,oceanexpert_id,['e1ca35fd-bbc4-4da9-a27c-fea1502a4a30'],4196,0.0
"Centro Interdisciplinar de Investigação Marinha e Ambiental, Universidade do Porto",public,oceanexpert_id,"['245bc74a-efa3-4bcd-ae87-a8d1ba1f666d', '9d9de482-bf84-4590-9022-d546dc21798c']",9546,0.0
Salmon Coast Field Station,public,baseline,['76e20e5d-0bbc-4a0f-90c7-598a3edd4258'],28806,0.0
Marine Ecology and Telemetry Research,public,baseline,['56b7611b-42c2-43d2-b0ed-8cc7c5c5db37'],319,0.0
Ulster Wildlife,public,rag,['612d0fa9-74df-4cef-9205-b1a945c55d8b'],1503,500.9999999999999
Suganthi Devadason Marine Research Institute,public,oceanexpert_id,['178270b9-6fca-41f0-8322-e195fca69f13'],981,0.0
Koninklijk Belgisch Instituut voor Natuurwetenschappen; Operationele Directie Taxonomie en Fylogenie; Afdeling Malacologie,public,baseline,['1d198847-58cf-4350-9d2c-8c8f611083c4'],3381,0.0
"Texas A &amp; M University, College Station",public,baseline,['a77de2cc-0e3f-485b-8c87-eb0545423957'],3874,0.0
Conservation International - Global Marine Division,public,manual,['d1277b79-1ca6-49d5-ab3c-2f7346a97e0e'],8,0.0
"Senckenberg Research Institute and Natural History Museum, Marine Zoology Department",public,baseline,['3cd86c95-eaff-4561-8498-eced07e2a4db'],364,0.0
Sovon Dutch Centre for Field Ornithology,public,manual,"['3b1da04e-7b8d-4080-ba17-d29909d6d95b', '01dbc62a-e166-4752-8547-6db4542ec039', '2c6aa97e-e886-4564-a55a-48e2e506f014', 'c633b0f8-90bb-43f2-8680-65ac26dd8400', '550b4cc1-c40d-4070-a0cb-26e010eca9d4', '132cfd6e-097d-4ee4-b737-58a596dcbe27']",1038140,0.0
Department of Environment and Science,public,rag,['031dba90-d480-419a-a562-be9a34bc5c49'],153153,0.0
University of Alaska Fairbanks - School of Fisheries and Oceans,public,oceanexpert_id,"['7b32d3ea-a8ad-455c-b1e8-b22a34ca17fd', '9db41dcc-6aa3-4439-acf0-35d4d72402c9', '52ccf89d-12a5-47c3-8b36-e3e9e6212c5b', '3cd94a39-6a58-4f0e-9c74-e044e7a0e737', 'a145f369-b272-46f7-86bc-08412b1ee927', 'e815809e-fcb5-4ee7-8edd-639aa4b4892d', '17ce69d0-2504-4ae3-bc87-16b096863f51', '17493494-2170-4e2d-bc37-d1c7334c6521', '34370444-238d-4908-9ffb-73d98e2057b0', '2f6e3dbd-64b0-4371-9a67-6e98305a32e0', '1b92d97a-3a1d-4bbf-9304-c56ba34ea041', 'b795fd5d-71ab-413f-9bb6-90d803dce53c', 'cefa0800-aee5-4f54-8bab-e0083b19a81f', '7cacae49-e435-449e-82ae-9a45f48821ca', 'f32f0bc2-c74e-46af-94b9-815e9dd70c5f', 'd48e5611-66c8-49ca-ab4c-9f3bbc93abea', 'baa416c9-4da0-450e-8ab6-ec3623b1c198', '49ae072f-d54d-4826-832b-12ef86f2c81e', '73195855-408b-4562-8349-c5774fd4fa2f', '53172248-5301-426f-9000-b94636ccce0b', 'aaa7c282-5909-4055-845c-026b0db8b86f', '140dcbab-d94c-48d5-94aa-221190cfbbb9', 'efe02bea-8a90-48f2-bb6b-d65141295d1d', '51e93be3-9850-4fbb-9a07-88813527e942', 'e34900cf-712b-4098-b846-c7cf19628d38', 'af895fc1-6a78-4e40-b4ba-29e733ed83a6', 'd97d80fe-773a-4891-8179-47f346456783', '44513b57-0963-4668-a2ff-5f55c90fbc1b', 'cd42b44b-2560-450d-88e7-70b5778d0194', '16f543b9-df51-4164-970e-aafb8878fbce', 'fd1d4384-f317-47ee-aa8c-c20347bae849', 'f41e98f0-f234-4888-b54e-b25abfb61ae4', '392bc81f-4a51-429e-93d2-be78799fdd82', '544ffde0-fa23-4185-8a05-eac1d48edbe2', '739c0486-3adf-4e88-9f8d-f0b48ea9b5ad', '3dbbeff2-2801-411f-80e5-438222f1aaa4', 'acb3f792-0f33-42e1-a2a8-28eb681e8cdb', 'd6fcd171-ee34-4fba-b03f-78290accb814', '44d02422-9ead-4392-8e0b-39aaefe2ce01', '704d7278-2647-436d-9bd0-8913a1d189cb', '38e5dd79-5e2a-40aa-8638-7b72c8acbbae', 'eb5a052f-428e-4a6d-8058-3785c9356df7', '6e41986a-678c-498d-ac85-8513dfc952a9', '2efab3d2-83a8-49a4-bd2d-025434e9df90', 'b9fa920c-5fbd-4d75-b004-cc9cc577b7e4', '2b6cc735-4302-4372-b88f-7a1129bfb662', '91b4fde9-b9e0-4839-8ea3-ab027eb07eac', 'a0317166-af21-48b9-bda7-25547a34f558', 'ad96e7c9-c136-4fa6-ac1c-5c15b328c1b5', '7c1fa836-81d9-4a07-929b-6c4288aeb21e', '5c389fdc-2764-469d-af92-a14bfb6de4f9', '36e6bd0b-d43f-422c-a40b-d7f98295d93b', 'a28d3c22-183e-4e5e-a9ee-38240fcd4241', '05bde978-ec4c-419b-92cf-94e267e750ad', '76eed81e-c212-4336-8913-6d2eb08dca41', '14242931-d643-4f29-a505-4d8eab59751b', 'aefdfcac-74b8-42ac-88c6-ae67133ee4f3', 'ddb391eb-e918-4eb9-8a4b-65bddba563a4', '1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3', '51078b37-d4a9-4a1d-9c94-92ee60299a3d', 'ec28374c-a11d-4bb9-89a1-7189127f4fd8', '598902d8-e0f8-4391-8323-69c4257e048f']",255710,0.0
"UWA Oceans Institute (OI), The University of Western Australia (UWA)",public,baseline,"['ebe4a98a-656a-45df-90b3-3f177375a405', '92d92da9-b1f8-4b32-bcd9-a9690473a319']",5117,0.0
Drexel University Academy of Natural Sciences,public,baseline,['8bd1c7c0-717d-4a4e-8b1c-9ff3c5698067'],15181,0.0
Sarawak Dolphin Project,public,rag,['d90281b7-cce9-49a1-b27a-1226a90b6777'],112,0.0
Centro Interdisciplinar de Investigação Marinha e Ambiental,public,oceanexpert_id,"['f1cc24f4-7afa-49de-ab9f-0518483a6167', '19731138-8d42-44df-a06a-d99919ffb620']",12108,0.0
Bureau of Ocean Energy Management of the US Department of the Interior,public,oceanexpert_id,"['bba874cd-919e-4e4c-86c7-c69aa38ad4a7', '2d60dbdc-e801-4c66-991e-d484e8b08227', 'f9ad999f-6460-404f-a594-189bafe3b52d']",7984,1964.5714285714284
Kyoto University,public,baseline,['4c280275-b20c-4cb2-b96b-96410db3601d'],681,0.0
"University of Kansas; Division of Invertebrate Zoology; Department of Ecology and Evolutionary Biology, KU Natural History Museum",public,baseline,['c380d2c9-98b3-48cf-af6c-56a88b81f1a4'],63193,0.0
José Manuel Arcos,outlier,manual,['0c02d1bc-07fa-4f16-838f-50755a61e703'],962,0.0
Foundation for Research and Technology - Hellas - Institute of Applied & Computational Mathematics,public,oceanexpert_id,['15450cc0-d3a9-4ea6-a169-55bd7cc7e83c'],1998,0.0
Victoria University of Wellington,public,baseline,['5eafc1c9-9892-4bff-9a8e-8431ad91ebbe'],90,0.0
The Ecology Centre and Commonwealth Facility for Applied Environmental Decision Analysis (AEDA) University of Queensland,public,baseline,['8c9eabd2-e1a1-4a91-b8e2-b66b462c32c9'],7517,0.0
Universidad Javeriana,public,baseline,['fd14b25a-9d42-447e-a4ec-e82cc081c9b1'],12,0.0
SiB Colombia,public,oceanexpert_id,"['88d5c457-b5e3-47d8-92c6-caea8e0ac67b', '22f3a057-258d-49b7-8ecf-e5233d53d72d', 'f9672738-4480-4987-96d6-9e9262ff04f9', 'f0fc91b1-6554-4e71-bd9c-8f6c6fd80a16', 'ef6efb6d-c303-49e8-8760-76f1682dd21e', '5bac0fd0-82cd-47df-bb58-a7fe226194ac']",1873020,0.0
University of Illinois,public,baseline,['4b0fd78e-c074-4b7b-a716-adf7e3917776'],348012,0.0
Universidad del Valle - Univalle,public,oceanexpert_id,[],0,0.0
"CSIRO Oceans & Atmosphere, Indian Ocean Marine Research Centre",public,oceanexpert_id,"['c1cb71f2-31a1-4343-b82c-3e36171f498c', '49f74e10-b23b-4aca-a0f2-62b4f1109dd3', 'cb68ab7d-191a-4969-9eb5-3c8374b663ad', '80321efa-4868-49f2-bd21-c14fcd0dedba', '544df27a-216f-4d0d-9cd0-cb19b5088588', 'd8ea9fd7-1ae9-4f1f-967c-74c2f5066357']",8424,0.0
University of Hawaiʻi at Hilo,public,baseline,['d8fb4468-d43b-4fda-9860-2c999192bdd5'],325,0.0
Wageningen University and Research Centre; Institute for Marine Resources and Ecosystem Studies,public,baseline,"['057859e2-3ff2-4f55-950f-62089486a7f7', '5ec42fe0-a902-46e4-b9cb-054c86dc7c8b', '13cd2cbd-f6f6-4e2a-94f9-f5ab6f30bb57', '661aee3f-5979-463f-a475-53eb946063b3']",50826,10810.1
"University of Concepcion, Chile",public,oceanexpert_id,['81db945e-d319-4237-b49e-cd3e78937393'],20566,0.0
Conor Ryan,outlier,manual,"['cd2c5b16-acb4-48e8-8ece-b43951077721', '6b7a8fc5-84cd-4075-9328-79d2771086aa']",4113,0.0
"School of Biomedical Sciences, The University of Queensland",public,baseline,['284af94c-a92e-4ccd-8578-3295992a1123'],5571,0.0
"National Observatory of Athens, Institute for Environmental Research and Sustainable Development",public,baseline,['88f8139e-37a7-439a-9de0-10aedd9a75a5'],4827,0.0
Ruhr-Universität Bochum – Fakultät für Biologie und Biotechnologie – Evolutionsökologie und Biodiversität der Tiere,public,oceanexpert_id,['4b1671ae-b01e-4754-adf7-e525dc6144a6'],4677,0.0
Centre National de la Recherche Scientifique; Centre d'Océanologie de Marseille Station Marine d'Endoume,public,baseline,['e6555856-e776-49b7-b0d3-2a5408433ef5'],468,0.0
"Natural Sciences Department, St. Joseph’s College",public,manual,['5ef55cd8-05a1-4569-8e17-ceb224e40f59'],519,64.875
Associação para Investigação Costeira e Marinha,public,manual,['b606c4a0-d693-4a03-9086-0be6e501c0fc'],1259,251.8
Department of botany and plant biology,public,oceanexpert_id,['5d632542-ccd1-4dc0-b84a-22885c0601ee'],2342,0.0
"Institut de Ci`encies del Mar, CSIC, Passeig Marítim de la Barceloneta",public,baseline,['fe2e14f5-a1f8-4de8-806f-c1f86550616a'],1863,0.0
Ocean Networks Canada,public,rag,['73fe766c-c720-42f3-9b4d-4674380389c5'],109,27.25
"Laboratorio de Hidrobiologia, Departamento de Biologia, Facultad de Ciencias, Universidad de Chile",public,baseline,['d44130bd-f23a-4731-a8df-5db44894fd4b'],3,0.0
"Ministère des Forêts, de la Faune et des Parcs du Québec",public,rag,"['735d8b98-5b8b-43eb-96f4-8bcbdfd97201', 'b86ad124-78ff-4553-9af4-6226d0c2bd49', 'a390823a-2a59-4680-9f42-c34af84eeae8', 'e0f45753-759a-4bc2-ab24-26dba4376707', 'd5d038ac-e400-4381-8283-a0ef9efa9dae', '8a5040ba-4284-4146-a727-30375d243846', 'b7ec83f0-1245-45c5-bc6d-a6c863059e52']",811509,14692.727272727274
The University of Western Australia,public,oceanexpert_id,"['3a0479b0-1dcc-4026-a02e-2672a0181fe7', 'e4a8f544-db4c-423f-a4e4-812785bd1551', 'c1cb71f2-31a1-4343-b82c-3e36171f498c', 'bcd4cb33-c483-40e6-9d11-a6a779cd8ec7', 'f51bac5e-4b26-4655-a0be-6cba68b50ae3', 'e4f6c94e-2493-4608-b883-2e6d88f61bd5', 'dae95bab-b5f9-479b-9769-b97cf8b1a854', '81903d9a-f9f2-4bee-ab8c-07609b308e6b', '98861cd3-daf5-4da9-9eca-d442d652750d', '12f19598-cd7a-4b6e-a26a-633a338606e2', 'f8d136bb-2473-4879-a916-da02085f5e09', '2b99fd91-5a53-41fd-b54d-cb10ec4ab745', '52e0bb96-d262-41ee-b586-88f4b6242a13', '315b6a36-8687-4740-a792-bb41705cac43']",183344,0.0
Padilla Bay National Estuarine Research Reserve,public,baseline,"['fbf4cb59-cef3-43be-b0ab-0dbab5f51740', '438b8f02-3421-4b2c-a5b2-5934ab76f47b']",76067,0.0
Marine Megafauna Foundation,public,manual,"['f88aca90-1e00-4cee-935b-cf3d018a60cb', '4a058eda-7edc-400b-a5a2-49dc8c193412']",4577,380.24999999999994
Mediterranean Conservation Society,public,manual,['baa2fd15-8103-4153-acaa-268bd41e5462'],710,0.0
ECOCEAN USA,private,manual,['83c921f1-6380-4c18-b3f3-133d4de3ea6f'],8417,4208.5
Observatorio Ambiental Granadilla,public,manual,['d64477cf-491f-4de5-8291-8c07986fa37e'],321,0.0
Research Institute of Marine Invertebrates (RIMI),public,baseline,['f89f543f-ff1b-4a19-9c60-3e0392e18fea'],78,0.0
NIWA,public,oceanexpert_id,[],0,0.0
Coralina,public,oceanexpert_id,[],0,0.0
Woods Hole Oceanographic Institution,public,oceanexpert_id,"['a326b7a3-1e74-4ae9-95d4-6b38d889cbe9', '1ed1afd0-221b-4e75-91a0-6447e44b0d2e', '7a4427f6-67ee-4cc1-b95f-3045523420a1', 'ede81495-8088-4438-b63d-84cd7d3f2fca', '1633768d-17b0-454a-8d32-be3500a84a9e', 'b920c161-c295-4a73-b9a4-96ab1ab0b357', 'c37c6228-542c-45a2-8bef-009ee03672a8', '9eadbad7-d3b7-4e44-a230-bff702e35f91', '1764b492-c904-456e-bcf6-bedffc86a10b', '1c90a4c0-42c9-4b8d-a0c6-3a48fd5ea993', '089ef71a-b32c-4e35-8c74-79cde58dbfff', 'ca816ed5-be34-46d6-8e78-9bebcab8451a', 'fa8ee269-74a6-4e52-b576-fcf023e90f9e', '2fd06604-7d20-4712-9f68-eae9ae336bb5', '56e55f76-6dda-403d-805b-f8922fa1766d']",1091509,0.0
"Agencia Alemana de Cooperación, actualmente GIZ - Agencia Internacional de Cooperación Alemana",public,baseline,['1e4d7adb-10a0-47cb-af6b-33b437fa5bf5'],14939,0.0
Olympic National Park,public,baseline,"['fbf4cb59-cef3-43be-b0ab-0dbab5f51740', '438b8f02-3421-4b2c-a5b2-5934ab76f47b']",76067,0.0
Fundación Amano,private,rag,"['9ecef113-7e29-4bfb-be05-2dfec6b6847b', 'cf1034ec-9672-4802-8342-9a94609dce4f', '80773cc7-44a8-42b8-a3ad-cc30c5b8f866']",535,171.99999999999997
Université Bordeaux 1; Station Marine d'Arcachon; Laboratoire d'Océanographie Biologique,public,baseline,['b2606b6f-f6d0-47ea-8a56-d086b20c60be'],3019,0.0
Chupalo General Marítima,public,manual,['7beefdfd-edad-4f66-bdad-04a43b686a9e'],58,0.0
CEGEP Rimouski,public,rag,['ca96c7df-bffa-4974-8639-e87f07c8caef'],12368,0.0
MARE - Centre of Marine and Environmental Sciences,public,rag,['443dc75f-b127-4dfe-807b-0604c46edf14'],28,0.0
U.S. Geological Surevy,public,rag,['fe2ed263-2b21-47d7-a79f-f9b911132398'],1604,0.0
NOAA Southeast Fisheries Science Center,public,rag,['03b75eb2-4672-42de-8211-f7c1daa39648'],85588,0.0
